epoch;accuracy;loss;val_accuracy;val_loss
0;0.53979164;1.5616607882181803;0.7049999833106995;1.6469177192052205
1;0.7393542;0.9046569650967916;0.7534999847412109;0.8244142349561056
2;0.7745208;0.7234691344896952;0.7766666412353516;0.6766473202705383
3;0.7970625;0.6335635999043783;0.7929999828338623;0.6157046718597412
4;0.8101875;0.577828358888626;0.8073333501815796;0.566373175462087
5;0.8210833;0.536358099381129;0.8198333382606506;0.5299019498825073
6;0.82925;0.5050524063110352;0.8084166646003723;0.5320522173245747
7;0.83639586;0.47980738306045534;0.8269166946411133;0.4949427395661672
8;0.842;0.4593495151201884;0.827833354473114;0.4820788309574127
9;0.8476667;0.4419364502429962;0.8375833630561829;0.45648027483622233
10;0.85154164;0.42859294350941973;0.8420000076293945;0.445949541648229
11;0.8559167;0.41444367496172585;0.8488333225250244;0.43544852860768635
12;0.8605;0.40349146898587546;0.8460000157356262;0.429364829381307
13;0.8632917;0.3936153555313746;0.8523333072662354;0.4157555607954661
14;0.86614585;0.3847699207464854;0.8504999876022339;0.42194119675954184
15;0.8680417;0.3763854953845342;0.8535833358764648;0.4163204310735067
16;0.8719583;0.3685401743253072;0.8489166498184204;0.4220652619202932
17;0.8743125;0.3613764310677846;0.8600833415985107;0.39564324990908306
18;0.8760625;0.355407612880071;0.8585833311080933;0.4017102196216583
19;0.8776875;0.3493459380467733;0.859000027179718;0.3962939604918162
20;0.8790417;0.3435090616146723;0.8551666736602783;0.3973464651902517
21;0.8817083;0.3385650503635407;0.8651666641235352;0.37701025358835855
22;0.8828958;0.33262721220652264;0.8655833601951599;0.37602197702725726
23;0.88425;0.32776925384998323;0.8653333187103271;0.3750749512513479
24;0.8868125;0.3238530627091726;0.8636666536331177;0.37906708375612896
25;0.8873542;0.32081716815630595;0.8654999732971191;0.38322208031018573
26;0.889;0.31540807004769644;0.8682500123977661;0.37059727295239764
27;0.8902917;0.3121407247384389;0.8678333163261414;0.3685572261015574
28;0.891125;0.3085433589220047;0.8728333115577698;0.3572497457663218
29;0.8932292;0.3052221097548803;0.8708333373069763;0.35741238260269165
30;0.894625;0.30168710299332935;0.8654999732971191;0.3736864029566447
31;0.89533335;0.29862777467568713;0.875333309173584;0.3513847754796346
32;0.8956042;0.2968374138275782;0.8705000281333923;0.36439795819918314
33;0.8967292;0.2919733551343282;0.8721666932106018;0.35772310304641725
34;0.8979167;0.29074858367443085;0.872083306312561;0.36097785154978435
35;0.8995208;0.2884144688844681;0.8745833039283752;0.3528539858659108
